date,O3,CO,NO2,SO2
2026-04-05,0.1174594265719254,0.02950093944867452,4.0857553748147825e-05,0.00012533013708889484
2026-04-04,0.1186168479422728,0.029312330484390258,3.6244817159098126e-05,4.0153229537491614e-05
2026-04-08,0.1178449908892313,0.02830326755841573,2.8646260034292936e-05,4.960325410744796e-05
2026-04-01,0.1177182624737421,0.02963296373685201,4.66340030210891e-05,-5.462611928426971e-06
2026-04-03,0.1180313351253668,0.028291924794514974,3.0684996939574676e-05,0.00040110275149345397
2026-04-07,0.1175790230433146,--,--,-0.0008349284180440009
2026-05-08,0.1161600480477015,0.02789262533187866,3.2789808756206185e-05,0.0004853111338512651
2026-05-06,0.118367542574803,0.030191286846443458,5.082702846266329e-05,0.00026429790121160055
2026-05-10,0.1165477007627487,0.030403891514087546,2.6618438520623993e-05,5.925439215977402e-05
2026-05-03,0.1170214628179868,0.02642123222351074,3.214163977342347e-05,2.9455142794176936e-05
2026-05-07,0.1183060020208358,0.029561813672383627,4.690493224188685e-05,0.00012561451488484938
2026-05-09,0.1167815533777078,--,4.736502499630054e-05,5.4184590804983266e-05
2026-05-04,0.1183439354101816,0.027216957374052567,3.053409091080539e-05,-1.9145090066428694e-05
2026-08-16,0.1183945998549461,0.03162649154663086,3.888504191612204e-05,6.113596415768067e-05
2026-08-21,0.1232010607918103,0.026898682117462158,4.034996187935273e-05,0.00023490299160281816
2026-08-18,0.121207873771588,--,3.7665752946243934e-05,0.00019343401904084852
2026-08-15,0.1185310870409011,0.035209929943084715,3.603474760893732e-05,-3.466063000295045e-06
2026-08-19,0.1211242124438285,0.028643840551376344,3.7769321352243423e-05,5.6454880783955257e-05
2026-08-22,0.1210830067594846,0.036485620339711505,5.702258204109967e-05,5.520550677409539e-05
2026-08-17,0.121760609994332,0.03674313315638789,3.248169377911836e-05,-2.1732092136517167e-05
2026-08-20,0.1217254196604093,0.028126615285873412,3.510214543590943e-05,0.00033851464589436847
2025-09-08,0.1127539364000161,0.027983762323856354,--,4.390631026277939e-05
2025-09-10,0.1155910631020863,0.02618525266647339,--,-8.241171599365771e-05
2025-09-12,0.1148632509013017,0.0308176060517629,4.539044457487762e-05,0.00017571277187570283
2025-09-11,0.1160046416024367,0.026123113102383085,3.615918103605509e-05,0.0002002865852167209
